姓名,组织
王兴栋,仁力名才
张达辉,上海分公司
刘清风,办公室
张保家,财务部
王维昌,财务部
李海栋,财务部
柳翔辉,人力资源部
毛腾仁,人力资源部
杨鹏庆,人力资源部
樊承,信息技术部
纪伦榕,信息技术部
曹时胜,人力资源部
熊克进,财务部
俞平,人力资源部
崔佳,人力资源部
滕炎,财务部
靳凝笑,人力资源部
阎东,人力资源部
屈怡韵,财务部
陈茜姣,人力资源部
祝明茂,人力资源部
崔姣霞,财务部
胡盛武,人力资源部
潘娟秋,人力资源部
赵彤,办公室
于龙,办公室
李韵君,办公室
崔思鸣,实施部
黄艳菲,实施部
陈力学,实施部
文航,实施部
汪珺珺,实施部
许凝,实施部
辜璐,实施部
张诗蓉,实施部
余策琛,实施部
华乐,实施部
熊坚策,实施部
周燕,实施部
杨栋雄,实施部
于清毅,实施部
郭雨芝,实施部
辜辰刚,实施部
尹静珺,实施部
张欣嘉,实施部
宋朋,实施部
裴鹏弘,实施部
冯辰,实施部
齐雨丽,实施部
臧爱聆,实施部
黄丽云,实施部
张昌中,实施部
欧阳腾,实施部
卜冠诚,研发部
王德,研发部
华娇靓,研发部
周晨时,研发部
张翔,研发部
崔建,研发部
诸葛乐笑,研发部
姚策,研发部
郝盈秀,研发部
郑盛,研发部
孔莉,研发部
刘芬,研发部
龙飞辰,研发部
祁朋,研发部
尉迟祥民,研发部
李彪泽,研发部
保淑,研发部
张福,研发部
马婷,研发部
杨桂云,研发部
公孙乐露,研发部
李颖珺,信息技术部
程娟乐,信息技术部
位悦勤,信息技术部
易清冠,信息技术部
耿国,信息技术部
章霄,办公室1
花勤,信息技术部
许风鹏,市场部
武维航,财务部
杨彤云,人力资源部
陈颖璐,实施部
安萱,客服部
沿涛风,培训部
宇文语,北京分公司
谭冰,广州分公司
刘民克,深圳分公司
夏侯然雨,实施部
杨姬彩,客服部
董华蓓,实施部
郑菲,客服部
沈楠士,实施部
萧平靓,客服部
白眉平,客服部
刘若鹏,浙江分公司
祝欣,河南分公司
王博祥,信息技术部
黎涛,拓展部
竺冰静,信息技术部
史瑾霞,仁力名才天津
商志鹏,人民广场营业部
谢利海,仁力名才
孔珍青,上海分公司
安莉苑,人民广场营业部
邓蓉丹,人民广场营业部
黄克行,人民广场营业部
万玟璐,人民广场营业部
冷伦,人民广场营业部
王启进,人民广场营业部
王盛康,人民广场营业部
王胜,人民广场营业部
银慧佳,人民广场营业部
刘鹏栋,客服部
熊钰希,法律事务部
张云岚,法律事务部
余莉勤,北京分公司
娄佳,广州分公司
施嘉晓,销售营运部
刘钧松,法律事务部
慕容福致,产品部
李玟秋,北京分公司
张维,实施部
邓旭,研发部
黄英,实施部
许顺,市场部
任克朋,客服部
靳淑君,拓展部
马冰月,信息技术部
丛策,法律事务部
司徒菲妹,河南分公司
季勇昌,供应链部
洪启伦,广州分公司
陈聪慧,深圳分公司
王凝莉,培训部
祁腾思,供应链部
高露宁,财务部
方月新,实施部
上官澜然,客服部
刘嘉萱,法律事务部
单雅,销售营运部
姚琳,会计部
廖邦建,实施部
陈萍,财务部
袁彬冠,法律事务部
凌乐,销售营运部
晋琛承,北京分公司
牛栋福,客服部
许维弘,会计部
张诗羽,市场部
计腾,信息技术部
万生泽,实施部
葛雄维,客服部
阎朋海,研发部
邹启,拓展部
位腾,客服部
崔悦叶,实施部
陈宁,办公室
漕素静,客服部
周雨平,实施部
卫钧建,供应链部
朱山,北京分公司
邹冰秀,法律事务部
简莲,客服部
尤美,财务部
薄云琳,实施部
万志冠,会计部
程玲丹,客服部
崔芝丹,广州分公司
卢良敬,实施部
刘雄,培训部
陆富伦,销售营运部
马然青,办公室
叶辰风,信息技术部
宋强士,市场部
李艺秋,深圳分公司
叶妍露,广州分公司
辛秋,实施部
蒋琳,会计部
翁良钧,法律事务部
芦璐嘉,客服部
祝婵,实施部
王云,拓展部
温玟,实施部
来德明,研发部
穆娜,客服部
长孙航榕,法律事务部
武琛,办公室
王凤,法律事务部
范媛,产品部
戴梅,人力资源部
尤家若,广州分公司
卓燕美,销售营运部
冯萱燕,财务部
陶泰群,客服部
倪萍,办公室
银鹏博,法律事务部
古雯莎,信息技术部
伍元朋,市场部
曾依玉,供应链部
司马生,销售营运部
康先承,拓展部
张秀,财务部
章瑜娇,人力资源部
杨秀嘉,研发部
刘盈,会计部
谢会杰,法律事务部
任梁,实施部
邵菊,信息技术部
李雯秀,北京分公司
贺静,培训部
慕容毅,销售营运部
魏弘新,研发部
薛娜欣,办公室
裴芝,客服部
庞凝雅,市场部
李梁炎,实施部
余娟聆,财务部
邸启,销售营运部
韦瑜,广州分公司
和婷诗,会计部
史勇策,实施部
长孙盛力,实施部
杜盈,客服部
蔡建健,法律事务部
江丽,产品部
张英倩,客服部
长孙斌,深圳分公司
汤婷婷,浙江分公司
苗苑,法律事务部
龚晓,供应链部
张士克,信息技术部
苏松致,拓展部
王翔鸣,实施部
陈昭宁,人力资源部
左弘,实施部
金仪,实施部
康爱,客服部
符健,实施部
傅航,市场部
赵旭,客服部
季月,财务部
冯静娥,研发部
曾雄弘,浙江分公司
曾悦园,销售营运部
康达,财务部
王克学,培训部
杨佳,法律事务部
陈强勇,北京分公司
竺婵玲,实施部
宋彩,浙江分公司
秦涛,实施部
银然,信息技术部
谭行,仁力名才
刘平芝,供应链部
李丹冰,实施部
许萌春,会计部
杨滢,法律事务部
桑锦,拓展部
李全,北京分公司
傅慧,广州分公司
芦雪雨,实施部
殷盛,销售营运部
杨敏悦,市场部
刘艺盈,客服部
宇芸萍,法律事务部
石晨文,浙江分公司
殷莉萌,实施部
扬昌琛,深圳分公司
汪芝锦,客服部
张琛,法律事务部
邱露依,办公室
刘世维,研发部
覃宁,财务部
封菲,浙江分公司
倪君菁,信息技术部
连敏琳,会计部
余维,客服部
杨娜静,实施部
司马兴,供应链部
沈辉,客服部
汪锦,培训部
徐丹,仁力名才
熊宁,客服部
辛海克,实施部
龙新,拓展部
殷淑,法律事务部
魏钧,市场部
桂鹏邦,北京分公司
牛瑜,浙江分公司
屈云敏,实施部
熊倩,产品部
郭晓婵,法律事务部
甘琦婷,实施部
党泽,客服部
丁聆,销售营运部
司马和风,信息技术部
李强,客服部
井冠,实施部
畅澜,办公室
